date,temperature,humidity,luminosity
2022-11-17 15:17:07.245,25.5,35.7,1545
2022-11-17 15:17:02.200,25.5,35.7,1542
2022-11-17 15:16:57.157,25.5,35.6,1541
2022-11-17 15:16:52.113,25.4,35.6,1541
2022-11-17 15:16:47.070,25.5,35.5,1543
2022-11-17 15:16:42.026,25.5,35.4,1543
2022-11-17 15:16:36.982,25.5,35.4,1542
2022-11-17 15:16:31.938,25.5,35.4,1542
2022-11-17 15:16:26.894,25.5,35.1,1542
2022-11-17 15:16:21.851,25.5,35.3,1546
2022-11-17 15:16:16.808,25.6,35.3,1544
2022-11-17 15:16:11.764,25.5,35.6,1548
2022-11-17 15:16:06.720,25.5,35.8,1547
2022-11-17 15:16:01.677,25.5,36.1,1544
2022-11-17 15:15:56.633,25.5,36.4,1545
2022-11-17 15:15:51.590,25.5,36.2,1546
2022-11-17 15:15:46.547,25.5,35.6,1545
2022-11-17 15:15:41.503,25.6,35.3,1542
2022-11-17 15:15:36.459,25.6,35.0,1544
2022-11-17 15:15:31.416,25.6,34.8,1543
2022-11-17 15:15:26.372,25.6,34.6,1543
2022-11-17 15:15:21.330,25.6,34.5,1542
2022-11-17 15:15:16.285,25.7,34.7,1543
2022-11-17 15:15:11.242,25.7,34.7,1540
2022-11-17 15:15:06.198,25.7,34.9,1543
2022-11-17 15:15:01.154,25.7,35.0,1542
2022-11-17 15:14:56.110,25.7,35.1,1544
2022-11-17 15:14:51.067,25.7,35.3,1546
2022-11-17 15:14:46.023,25.7,35.3,1546
2022-11-17 15:14:40.980,25.6,35.3,1547
2022-11-17 15:14:35.936,25.7,35.2,1550
2022-11-17 15:14:30.892,25.7,35.3,1545
2022-11-17 15:14:25.848,25.7,35.3,1547
2022-11-17 15:14:20.805,25.8,35.3,1545
2022-11-17 15:14:15.762,25.8,35.4,1543
2022-11-17 15:14:10.719,25.7,35.3,1542
2022-11-17 15:14:05.675,25.8,35.0,1543
2022-11-17 15:14:00.631,25.8,34.9,1544
2022-11-17 15:13:55.587,25.8,35.0,1546
2022-11-17 15:13:50.543,25.9,35.3,1546
2022-11-17 15:13:45.500,25.8,35.6,721
2022-11-17 15:13:40.458,25.7,35.8,433
2022-11-17 15:13:35.414,25.7,35.3,1179
2022-11-17 15:13:30.370,25.7,34.6,55
2022-11-17 15:13:25.326,25.7,34.7,1484
2022-11-17 15:13:20.282,25.7,34.7,1481
2022-11-17 15:13:15.239,25.8,34.6,1484
2022-11-17 15:13:10.195,25.7,34.7,1484
2022-11-17 15:13:05.151,25.7,34.8,1485
2022-11-17 15:13:00.108,25.7,34.8,1484
2022-11-17 15:12:55.064,25.7,35.0,1482
2022-11-17 15:12:50.021,25.7,35.1,1480
2022-11-17 15:12:44.979,25.7,35.4,1481
2022-11-17 15:12:39.935,25.7,35.4,1486
2022-11-17 15:12:34.892,25.7,35.3,1488
2022-11-17 15:12:29.848,25.8,35.5,1485
2022-11-17 15:12:24.805,25.7,35.7,1483
2022-11-17 15:12:19.762,25.7,35.9,1478
2022-11-17 15:12:14.718,25.7,35.6,1478
2022-11-17 15:12:09.675,25.7,35.6,1476
2022-11-17 15:12:04.632,25.7,35.7,1473
2022-11-17 15:11:59.590,25.8,35.7,1477
2022-11-17 15:11:54.546,25.8,35.8,1484
2022-11-17 15:11:49.503,25.7,36.1,1480
2022-11-17 15:11:44.458,25.8,36.7,1478
2022-11-17 15:11:39.415,25.7,37.2,1478
2022-11-17 15:11:34.371,25.8,37.5,1474
2022-11-17 15:11:29.327,25.8,38.0,1478
2022-11-17 15:11:24.283,25.8,37.8,1475
2022-11-17 15:11:19.239,25.8,38.5,1500
2022-11-17 15:11:14.195,25.8,39.3,1493
2022-11-17 15:11:09.151,25.8,39.1,1494
2022-11-17 15:11:04.108,25.6,38.7,995
2022-11-17 15:10:59.065,25.6,37.9,729
2022-11-17 15:10:54.021,25.6,36.9,1296
2022-11-17 15:10:48.978,25.5,35.4,114
2022-11-17 15:10:43.935,25.5,35.2,1435
2022-11-17 15:10:38.891,25.4,35.1,1497
2022-11-17 15:10:33.847,25.5,35.0,1496
2022-11-17 15:10:28.804,25.4,35.1,1493
2022-11-17 15:10:23.760,25.5,35.2,1494
2022-11-17 15:10:18.716,25.5,35.2,1491
2022-11-17 15:10:13.672,25.5,35.2,1494
2022-11-17 15:10:08.628,25.4,35.3,1496
2022-11-17 15:10:03.585,25.5,35.2,1494
